"","scientific_name","common_name","partner_names","total","FedAg_w_collab","wo_FedAg_w_collab","count_w_FedAg_wo_collab","count_wo_FedAg_wo_collab","count_collab","count_w_FedAg_w_collab","count_wo_FedAg_w_collab"
"25","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT","California Department of Fish and Wildlife, USFS, USFWS",3,"California Department of Fish and Wildlife Northern region, USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest, USFWS Pacific Southwest Region Sacramento Office","California Department of Fish and Wildlife Northern region, USFS, USFWS",3,3,NA,3,3
"26","Pyrgulopsis notidicola","ELONGATE MUD MEADOW SPRINGSNAIL","Nevada Department of Wildlife, NPS, BLM, USFWS, Nevada Natural Heritage Program, The Nature Conservancy, Desert Research Institute",7,"Nevada Department of Wildlife, NPS, BLM, USFWS, Nevada Natural Heritage Program, The Nature Conservancy, Desert Research Institute","Nevada Department of Wildlife, NPS, BLM, USFWS, Nevada Natural Heritage Program, The Nature Conservancy, Desert Research Institute",7,7,NA,7,7
"27","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","Anza-Borrego State Park, Arizona Game and Fish, California Department of Fish and Game, California State Parks, Ocotillo Wells, BLM, US Bureau of Reclamation, USFWS, US Marine Corps, US Naval Air Facility, US Navy",11,"California Department of Parks and Recreation Anza Borrego Desert State Park, BLM El Centro, BLM Palm Springs, BLM Yuma District, BLM California Desert District, Bureau of Reclamation Yuma, USFWS Carlsbad Field Office, USFWS Phoenix Field Office, US Marine Corps Air Station Yuma, US Naval Air Facility-El Centro, US Navy SW Division San Diego, Arizona Game and Fish, California Department of Fish and Game, California Department of Parks and Recreation Off-Highway Motor Vehicle Division Ocotillo Wells State Recreational Vehicle Area, California Department of Parks and Recreation Anza Borrego Desert State Park,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado, Reserva de la Biosfera el Pinacate y Gran Desierto de Altar, several ICC agencies","California Department of Parks and Recreation Anza Borrego Desert State Park, BLM, Bureau of Reclamation, USFWS, US Marine Corps, US Navy, Arizona Game and Fish, California Department of Fish and Game, California Department of Parks and Recreation Off-Highway Motor Vehicle Division Ocotillo Wells State Recreational Vehicle Area, California Department of Parks and Recreation Anza Borrego Desert State Park,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado, Reserva de la Biosfera el Pinacate y Gran Desierto de Altar, several ICC agencies",15,10,3,18,13
"28","Ursus americanus floridanus","FLORIDA BLACK BEAR",NA,NA,"","",NA,NA,NA,0,0
"29","Boechera pusilla","FREMONT COUNTY ROCK CRESS",NA,NA,"","",NA,NA,NA,0,0
"30","Dalea tentaculoides","GENTRY'S INDIGOBUSH",NA,NA,"","",NA,NA,NA,0,0
"31","Symphyotrichum georgianum","GEORGIA ASTER","USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS",9,"USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS,Alabama Natural Heritage Program, Georgia Natural Heritage Program, North Carolina Natural Heritage Program, South Carolina Natural Heritage Program, Atlanta Botanical Garden, North Carolina Botanical Garden, State Botanical Garden of Georgia, The Citadel, The Nature Conservancy, Army Corps of Engineers","USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS,Alabama Natural Heritage Program, Georgia Natural Heritage Program, North Carolina Natural Heritage Program, South Carolina Natural Heritage Program, Atlanta Botanical Garden, North Carolina Botanical Garden, State Botanical Garden of Georgia, The Citadel, The Nature Conservancy, Army Corps of Engineers",9,9,10,19,19
"32","Astragalus anserinus","GOOSE CREEK MILKVETCH","BLM, USFWS",2,"BLM, USFWS,Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program","BLM, USFWS,Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",2,2,7,9,9
"33","Penstemon grahamii","GRAHAM BEARDTONGUE","Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS",7,"Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM Utah, BLM Colorado, USFWS","Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS",8,7,NA,8,7
"34","Pseudanophthalmus pholeter","GREATER ADAMS CAVE BEETLE","USFWS",1,"USFWS,Southern conservation corporation","USFWS,Southern conservation corporation",1,1,1,2,2
"35","Centrocercus urophasianus","GREATER SAGE-GROUSE - BI-STATE POPULATION",NA,NA,"","",NA,NA,NA,0,0
