partner.in.agreement,Scientific.name,Common.name,agreement.number,Programatic..Y.N.,type.of.partners,"type_of_orgORactor(fed agency/division = F, wildlife/state agency = S, private landowner = P, ngo = N, researchers = R, coorporation/industry = c, other unspecifed entity = O)",type_of_org,notes,doc.link,notes.on.actions.taken..from.notes.tab.,Don.t.know.how.to.categorize.action...dump.text.here,X1..Land.Water.Management,X2..Species.Management,X3..Awareness.raising,X4..law.enforcement.and.prosecution,X5..livelihood..economic.and.moral.incentrives,X6..Conservation.Design.and.Planning,X7..Legal.and.Policy.frameworks,X8..Research.and.monitoring,X9..Education.and.Training,X10..Institutional.Development,funding
Participating landowners,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Y,P,P,P,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,Adhere to stipulations on surface activities required by the BLM RMPA (May 2008) on oil and gas lease developments on enrolled lands at a minimum. d) Adhere to rangeland and grazing stipulations required by the BLM RMPA (May 2008) at a minimum for ranch operations.,1,0,0,0,0,1,1,0,0,1,0
USFWS,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,,S,F,USFWS,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,0,0,0,0,0,0
USFWS Southwest Region,Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Y,S,F,USFWS,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,0,1,0,0,1,1
"USFWS, BLM ",Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,,M,,,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,1,0,1,0,1,0
"USFWS, BLM, New Mexico Department of Game and Fish",Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 a CCA,,M,,,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf, ,,0,0,0,0,0,1,0,1,0,1,0
"Vauge/Unspecified cooperators: NRCS, New Mexico Department of Game and Fish",Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,doc 1 b CCAA,Y,M?,,,,https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf,"Many agencies, institutions, and individuals are interested in participating in this effort. Many of these potential cooperators have expertise in these species, such as NMDGF, or in applying conservation practices, such as NRCS. Their participation, along with the participants in the Collaborative Conservation Strategies for the Lesser Prairie-Chicken and Sand Dune Lizard in New Mexico (LPC/SDL Working Group 2005) would be a benefit for developing conservation priorities and commitments on enrolled properties and evaluating the success of such practices. Therefore, their participation will go far towards ensuring the success of this CCAA.", ,0,0,0,0,0,0,0,0,0,0,0
California Department of Fish and Wildlife,Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,,S,S,SW,,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf,"Set up as goals and actions. All parties seem to be responsible for the goals, but the objectives are organization specific and some goals only have objectives being done by one oganization", ,1,1,0,0,0,0,0,1,0,0,0
"California Department of Fish and Wildlife, USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,,M,,,,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,1,1,0,0,0,0,0,1,0,0,0
"California Department of Fish and Wildlife, USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest, USFWS Pacific Southwest Region Sacramento Office",Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,,M,,,,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,0,0,1,0,0,0,0,0,0,0,0
USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest,Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,doc 1A Lassen County ,,S,F,USFS,,https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf, ,,1,0,0,0,0,0,0,0,0,0,0
